Position,Name,Salary,Points
C,Mason Plumlee,5900,24.31219512195122
PG,Pablo Prigioni,3500,9.081355932203389
PF,Jeremy Evans,3500,5.3933333333333335
SG,Randy Foye,3500,11.761728395061729
PF,Luol Deng,6600,24.02162162162162
SG,Troy Daniels,3500,8.044186046511628
PG,Raymond Felton,6000,19.294999999999998
PG,Chris Paul,9800,41.36486486486486
PF,Mitch McGary,3500,2.5549999999999997
PG,Jose Juan Barea,4900,18.735135135135135
PG,Kemba Walker,8000,35.9
PF,Frank Kaminsky,3700,15.54320987654321
PF,Serge Ibaka,5900,25.456410256410255
C,Spencer Hawes,3500,14.671929824561403
SF,Joe Johnson,4600,22.103703703703705
SG,Jeremy Lamb,3500,16.543939393939397
SG,Pat Connaughton,3500,2.4529411764705884
SF,Luc Richard Mbah a Moute,3500,7.642666666666667
PG,Cameron Payne,3500,10.298245614035087
PF,Nick Collison,3500,7.088135593220339
PG,Brian Roberts,3500,6.592156862745098
SG,Dion Waiters,3800,16.761538461538464
C,Cole Aldrich,3600,15.243333333333332
PF,Josh McRoberts,3500,9.94047619047619
PF,Dwight Powell,3500,12.646376811594202
PG,Damian Lillard,8100,39.37866666666667
C,Nazr Mohammed,3500,1.9600000000000002
PF,Ed Davis,3600,19.392592592592592
SF,Nicolas Batum,6900,31.072857142857142
C,Enes Kanter,5000,23.015853658536585
SF,Kevin Durant,10000,46.32361111111111
SG,Wesley Matthews,4900,20.526923076923076
C,JaVale McGee,3500,11.091176470588236
SG,Gerald Henderson,3500,14.412500000000001
SF,Kyle Singler,3500,7.091176470588235
C,Hassan Whiteside,8600,35.75342465753425
SF,Justin Anderson,3800,8.616363636363635
SG,Anthony Morrow,3500,7.7558823529411764
PG,Austin Rivers,3500,14.186567164179104
PF,Amar'e Stoudemire,3500,13.075
C,Cody Zeller,4400,20.034246575342465
SF,Justise Winslow,3500,16.103846153846153
C,Salah Mejri,3500,10.370588235294118
SF,Maurice Harkless,5100,13.33974358974359
SG,Allen Crabbe,3500,16.465432098765433
SF,Al-Farouq Aminu,5500,21.64390243902439
C,Al Jefferson,5800,24.174468085106383
SG,Dwyane Wade,7600,31.43783783783784
SG,Devin Harris,3500,14.2125
PF,Branden Dawson,3500,1.9666666666666668
SF,Luis Montero,3500,1.3583333333333334
SG,C.J. Wilcox,3500,5.278260869565218
SF,Jeff Green,3500,20.5925
SF,Dorell Wright,3500,0
C,Chris Kaman,3500,5.33125
PF,Chris Bosh,7000,32.679245283018865
SG,C.J. McCollum,7000,31.653750000000002
SG,Courtney Lee,3800,17.27848101265823
PF,Cliff Alexander,3500,2.775
PG,Jorge Gutierrez,3500,4.658333333333333
PF,Blake Griffin,8800,38.965714285714284
PG,Briante Weber,3500,15.357142857142858
C,Zaza Pachulia,3800,23.11315789473684
SG,Andre Roberson,3500,12.338571428571429
PF,Tyler Hansbrough,3500,5.654545454545455
SG,Jamal Crawford,4200,20.044303797468356
PG,Aaron Harrison,3500,2.238095238095238
PG,Tyler Johnson,3500,16.452777777777776
PF,Noah Vonleh,3500,9.615384615384615
SF,Marvin Williams,5100,24.027160493827157
PF,Jeff Ayres,3500,3.7588235294117647
PG,Deron Williams,5500,26.353846153846153
PF,Charlie Villanueva,3500,9.23225806451613
SG,Gerald Green,3500,13.936231884057971
C,DeAndre Jordan,8000,35.51688311688312
PF,Udonis Haslem,3500,4.837837837837838
PG,Goran Dragic,6600,27.359722222222224
PF,David Lee,3500,17.327272727272728
SG,Jeremy Lin,4700,20.77051282051282
SF,Josh Huestis,3500,5.8
SG,Josh Richardson,4100,12.805769230769231
SG,J.J. Redick,4200,20.904
PG,Russell Westbrook,10600,48.802499999999995
PF,Dirk Nowitzki,7000,30.410666666666668
SF,Wesley Johnson,3500,14.451249999999998
C,Steven Adams,4400,19.3325
SF,Paul Pierce,3500,11.598529411764707
